Store Name,Street Address,Latitude,Longitude
Wolgae Emart,"333-1 Wolgae3dong, Nowongu, Seoul",37.63,127.06
Olympic Park North Gate,"468 Seongnae-dong,Gangdong-gu",37.53,127.13
Mia Newtown,"812-2, Mia-dong, Gangbuk-gu",37.62,127.02
Yangjae Station,"14-4 Yangjae-dong, Seocho-gu",37.48,127.04
Apgujeong Center,"639-7, Shinsa-Dong, Gangnam-Gu, Yonsei Foundation Y Building",37.53,127.04
Yonsei east gate,"115 Daesin-Dong, Seodaemun-Gu",37.57,126.95
Garak bondong,97-4 Garak-dong Songpa-gu,37.49,127.12
Myeongil E-Mart,"47-7 Myungil-dong,Gangdong-gu",37.55,127.16
Hwagok DT,"772-67,Hwagok 4-dong, Gangseo-gu",37.54,126.86
National Assemble Station,"Yoido 17-3, Yeongdeungpo-gu",37.53,126.92
Seoul Nat'l Univ. Station,"861-6, Bongcheon-dong, Gwanak-gu",37.48,126.95
Sadang,1060-10 Namhyeon-dong Gwanak-gu,37.48,126.98
Dosan Main Street,"5 Nonhyeon-Dong, Gangnam-Gu, 2F",37.52,127.02
Ulji Hospital Sageori,"59-8, Nonhyeon 2-dong, Gangnam-gu",37.52,127.03
Mangwon Station Line 6,"475-13, Seogyo-Dong, Mapo-Gu",37.56,126.91
Gangdong Station,"Cheonho-dong, Gangdong-gu",37.54,127.13
Yeonhui DT,"87-26, Yeonhui-dong, Seodaemun-gu",37.57,126.93
Hoegi Station Sageori,"346-18, Hoegi-dong, Dongdaemun-gu",37.59,127.06
Dongguk Univ. station,"62-35 jangchoongro 1ga, jung-gu",37.56,127.01
Yangpyeongdong,"2, Yangpyeongdong 4-ga, Yeongdeungpo-gu",37.53,126.9
Myeongdong Metro,"199-33 Euljiro 2-ga, Jung-gu",37.57,126.98
Sangam Digitalcube,"1647, Sangam-dong, Mapo-gu",37.58,126.89
Gwangnaru,"329-1 Gwangjang-dong, Gwangjin-gu",37.33,127.62
Myongji University,"344-1, Namgajwa-dong, Seodaemun-gu",37.58,126.92
Ulgiro 3ga station,"88-5,Euljiro 2-ga, Jung-gu",37.57,126.99
Itaewon Street,657-104. Hannam 1-dong Yongsan-gu,37.33,126.6
Gangbuk-gu office sageori,"174-13 suyu-dong gangbuk-gu Seoul, V-Tower",37.64,127.03
Gasan V-Tower,"371-37, Gasan-Dong, Geumcheon-Gu",37.48,126.88
Gwanghwamun Station,"249, Chungjindong, Jongrogu, Seoul",37.57,126.98
Hongdae-samgeory,"86-22, Sangsu-Dong, Mapo-Gu, 1-2F",37.55,126.92
Gangbyeon Station,"589-10, Guui-dong, Gwangjin-gu",37.54,127.09
Myeong Dong Entrance,"85-5 Myeongdong-1ga, Jung-gu",37.56,126.98
